time,velocity,angle of road,acceleration,rolling resistance,air resistance,gradient resistance,inertial resistance,total resistance,total power,effective power,battery capacity,range
123.0,6.5,1.0,0.0,4.115373113263707,8.03088,17.958526223964732,0.0,30.10477933722844,195.68106569198486,145.68106569198486,98.37155980706927,61.44801247790254
124.0,6.5,1.0,0.0,4.115373113263707,8.03088,17.958526223964732,0.0,30.10477933722844,195.68106569198486,145.68106569198486,98.35999781772864,61.440790255688704
125.0,6.5,1.0,0.0,4.115373113263707,8.03088,17.958526223964732,0.0,30.10477933722844,195.68106569198486,145.68106569198486,98.34843582838799,61.43356803345808
126.0,6.5,1.0,0.0,4.115373113263707,8.03088,17.958526223964732,0.0,30.10477933722844,195.68106569198486,145.68106569198486,98.33687383904736,61.42634581124427
127.0,6.5,1.0,0.0,4.115373113263707,8.03088,17.958526223964732,0.0,30.10477933722844,195.68106569198486,145.68106569198486,98.32531184970671,61.419123589022036
128.0,6.5,1.0,0.0,4.115373113263707,8.03088,17.958526223964732,0.0,30.10477933722844,195.68106569198486,145.68106569198486,98.31374986036607,61.41190136679982
129.0,6.5,1.0,0.0,4.115373113263707,8.03088,17.958526223964732,0.0,30.10477933722844,195.68106569198486,145.68106569198486,98.30218787102542,61.40467914457759
130.0,6.5,1.0,0.0,4.115373113263707,8.03088,17.958526223964732,0.0,30.10477933722844,195.68106569198486,145.68106569198486,98.29062588168478,61.397456922346976
131.0,6.5,1.0,0.0,4.115373113263707,8.03088,17.958526223964732,0.0,30.10477933722844,195.68106569198486,145.68106569198486,98.27906389234414,61.39023470013315
132.0,6.5,1.0,0.0,4.115373113263707,8.03088,17.958526223964732,0.0,30.10477933722844,195.68106569198486,145.68106569198486,98.26750190300349,61.383012477910924
133.0,6.5,1.0,0.0,4.115373113263707,8.03088,17.958526223964732,0.0,30.10477933722844,195.68106569198486,145.68106569198486,98.25593991366286,61.375790255688706
134.0,6.5,1.0,0.0,4.115373113263707,8.03088,17.958526223964732,0.0,30.10477933722844,195.68106569198486,145.68106569198486,98.24437792432221,61.368568033466474
135.0,6.5,1.0,0.0,4.115373113263707,8.03088,17.958526223964732,0.0,30.10477933722844,195.68106569198486,145.68106569198486,98.23281593498157,61.36134581124426
136.0,6.5,1.0,0.0,4.115373113263707,8.03088,17.958526223964732,0.0,30.10477933722844,195.68106569198486,145.68106569198486,98.22125394564092,61.35412358902204
137.0,6.5,1.0,0.0,4.115373113263707,8.03088,17.958526223964732,0.0,30.10477933722844,195.68106569198486,145.68106569198486,98.20969195630028,61.34690136679143
138.0,6.5,1.0,0.0,4.115373113263707,8.03088,17.958526223964732,0.0,30.10477933722844,195.68106569198486,145.68106569198486,98.19812996695964,61.33967914457758
139.0,6.5,1.0,0.0,4.115373113263707,8.03088,17.958526223964732,0.0,30.10477933722844,195.68106569198486,145.68106569198486,98.18656797761899,61.33245692235537
140.0,6.5,1.0,0.0,4.115373113263707,8.03088,17.958526223964732,0.0,30.10477933722844,195.68106569198486,145.68106569198486,98.17500598827836,61.32523470013315
141.0,6.5,1.0,0.0,4.115373113263707,8.03088,17.958526223964732,0.0,30.10477933722844,195.68106569198486,145.68106569198486,98.16344399893771,61.31801247791092
142.0,6.5,1.0,0.0,4.115373113263707,8.03088,17.958526223964732,0.0,30.10477933722844,195.68106569198486,145.68106569198486,98.15188200959706,61.31079025568032
143.0,6.5,1.0,0.0,4.115373113263707,8.03088,17.958526223964732,0.0,30.10477933722844,195.68106569198486,145.68106569198486,98.14032002025642,61.30356803346648
144.0,6.5,1.0,0.0,4.115373113263707,8.03088,17.958526223964732,0.0,30.10477933722844,195.68106569198486,145.68106569198486,98.12875803091578,61.29634581123589
145.0,6.5,1.0,0.0,4.115373113263707,8.03088,17.958526223964732,0.0,30.10477933722844,195.68106569198486,145.68106569198486,98.11719604157514,61.289123589022026
146.0,6.5,1.0,0.0,4.115373113263707,8.03088,17.958526223964732,0.0,30.10477933722844,195.68106569198486,145.68106569198486,98.10563405223449,61.281901366799815
147.0,6.5,1.0,0.0,4.115373113263707,8.03088,17.958526223964732,0.0,30.10477933722844,195.68106569198486,145.68106569198486,98.09407206289386,61.27467914457759
148.0,6.5,1.0,0.0,4.115373113263707,8.03088,17.958526223964732,0.0,30.10477933722844,195.68106569198486,145.68106569198486,98.08251007355321,61.26745692235537
